ServiceName;Alias;Permission;Action;Description;AccessLevel;Resource
Alexa for Business;a4b;DeleteConferenceProvider;a4b:DeleteConferenceProvider;Grants permission to delete a conference provider;Write;True
Alexa for Business;a4b;DeleteContact;a4b:DeleteContact;Grants permission to delete a contact by the contact ARN;Write;True
Alexa for Business;a4b;DeleteDevice;a4b:DeleteDevice;Grants permission to remove a device from Alexa For Business;Write;True
Alexa for Business;a4b;DeleteDeviceUsageData;a4b:DeleteDeviceUsageData;Grants permission to delete the device's entire previous history of voice input data and associated response data;Write;True
Alexa for Business;a4b;DeleteGatewayGroup;a4b:DeleteGatewayGroup;Grants permission to delete a gateway group;Write;True
Alexa for Business;a4b;DeleteNetworkProfile;a4b:DeleteNetworkProfile;Grants permission to delete a network profile by the network profile ARN;Write;True
Alexa for Business;a4b;DeleteProfile;a4b:DeleteProfile;Grants permission to delete profile by profile ARN;Write;True
Alexa for Business;a4b;DeleteRoom;a4b:DeleteRoom;Grants permission to delete room;Write;True
Alexa for Business;a4b;DeleteRoomSkillParameter;a4b:DeleteRoomSkillParameter;Grants permission to delete a parameter from a skill and room;Write;True
Alexa for Business;a4b;DeleteSkillAuthorization;a4b:DeleteSkillAuthorization;Grants permission to unlink a third-party account from a skill;Write;True
Alexa for Business;a4b;DeleteSkillGroup;a4b:DeleteSkillGroup;Grants permission to delete skill group with skill group ARN;Write;True
Alexa for Business;a4b;DeleteUser;a4b:DeleteUser;Grants permission to delete a user;Write;True
Alexa for Business;a4b;DisassociateContactFromAddressBook;a4b:DisassociateContactFromAddressBook;Grants permission to disassociate a contact from a given address book;Write;True
Alexa for Business;a4b;DisassociateDeviceFromRoom;a4b:DisassociateDeviceFromRoom;Grants permission to disassociate device from its current room;Write;True
Alexa for Business;a4b;DisassociateSkillFromSkillGroup;a4b:DisassociateSkillFromSkillGroup;Grants permission to disassociate a skill from a skill group;Write;True
Alexa for Business;a4b;DisassociateSkillFromUsers;a4b:DisassociateSkillFromUsers;Grants permission to make a private skill unavailable for enrolled users and prevent them from enabling it on their devices;Write;True
Alexa for Business;a4b;DisassociateSkillGroupFromRoom;a4b:DisassociateSkillGroupFromRoom;Grants permission to disassociate the skill group from given room;Write;True
Alexa for Business;a4b;ForgetSmartHomeAppliances;a4b:ForgetSmartHomeAppliances;Grants permission to forget smart home appliances associated to a room;Write;True
Alexa for Business;a4b;GetAddressBook;a4b:GetAddressBook;Grants permission to get the address book details by the address book ARN;Read;True
Alexa for Business;a4b;GetConferencePreference;a4b:GetConferencePreference;Grants permission to retrieve the existing conference preferences;Read;False
Alexa for Business;a4b;GetConferenceProvider;a4b:GetConferenceProvider;Grants permission to get details about a specific conference provider;Read;True
Alexa for Business;a4b;GetContact;a4b:GetContact;Grants permission to get the contact details by the contact ARN;Read;True
Alexa for Business;a4b;GetDevice;a4b:GetDevice;Grants permission to get device details;Read;True
Alexa for Business;a4b;GetGateway;a4b:GetGateway;Grants permission to retrieve the details of a gateway;Read;True
Alexa for Business;a4b;GetGatewayGroup;a4b:GetGatewayGroup;Grants permission to retrieve the details of a gateway group;Read;True
Alexa for Business;a4b;GetInvitationConfiguration;a4b:GetInvitationConfiguration;Grants permission to retrieve the configured values for the user enrollment invitation email template;Read;False
Alexa for Business;a4b;GetNetworkProfile;a4b:GetNetworkProfile;Grants permission to get the network profile details by the network profile ARN;Read;True
Alexa for Business;a4b;GetProfile;a4b:GetProfile;Grants permission to get profile when provided with Profile ARN;Read;True
Alexa for Business;a4b;GetRoom;a4b:GetRoom;Grants permission to get room details;Read;True
Alexa for Business;a4b;GetRoomSkillParameter;a4b:GetRoomSkillParameter;Grants permission to get an existing parameter that has been set for a skill and room;Read;True
Alexa for Business;a4b;GetSkillGroup;a4b:GetSkillGroup;Grants permission to get skill group details with skill group ARN;Read;True
Alexa for Business;a4b;ListBusinessReportSchedules;a4b:ListBusinessReportSchedules;Grants permission to list the details of the schedules that a user configured;List;False
Alexa for Business;a4b;ListConferenceProviders;a4b:ListConferenceProviders;Grants permission to list conference providers under a specific AWS account;List;False
Alexa for Business;a4b;ListDeviceEvents;a4b:ListDeviceEvents;Grants permission to list the device event history, including device connection status, for up to 30 days;List;True
Alexa for Business;a4b;ListGatewayGroups;a4b:ListGatewayGroups;Grants permission to list gateway group summaries;List;False
Alexa for Business;a4b;ListGateways;a4b:ListGateways;Grants permission to list gateway summaries;List;True
Alexa for Business;a4b;ListSkills;a4b:ListSkills;Grants permission to list skills;List;False
Alexa for Business;a4b;ListSkillsStoreCategories;a4b:ListSkillsStoreCategories;Grants permission to list all categories in the Alexa skill store;List;False
Alexa for Business;a4b;ListSkillsStoreSkillsByCategory;a4b:ListSkillsStoreSkillsByCategory;Grants permission to list all skills in the Alexa skill store by category;List;False
Alexa for Business;a4b;ListSmartHomeAppliances;a4b:ListSmartHomeAppliances;Grants permission to list all of the smart home appliances associated with a room;List;True
Alexa for Business;a4b;ListTags;a4b:ListTags;Grants permission to list all tags on a resource;Read;True
Alexa for Business;a4b;PutConferencePreference;a4b:PutConferencePreference;Grants permission to set the conference preferences on a specific conference provider at the account level;Write;False
Alexa for Business;a4b;PutDeviceSetupEvents [permission only];a4b:PutDeviceSetupEvents [permission only];Grants permission to publish Alexa device setup events;Write;False
Alexa for Business;a4b;PutInvitationConfiguration;a4b:PutInvitationConfiguration;Grants permission to configure the email template for the user enrollment invitation with the specified attributes;Write;False
Alexa for Business;a4b;PutRoomSkillParameter;a4b:PutRoomSkillParameter;Grants permission to put a room specific parameter for a skill;Write;True
Alexa for Business;a4b;PutSkillAuthorization;a4b:PutSkillAuthorization;Grants permission to link a user's account to a third-party skill provider;Write;True
Alexa for Business;a4b;RegisterAVSDevice;a4b:RegisterAVSDevice;Grants permission to register an Alexa-enabled device built by an Original Equipment Manufacturer (OEM) using Alexa Voice Service (AVS);Write;False
Alexa for Business;a4b;RegisterDevice [permission only];a4b:RegisterDevice [permission only];Grants permission to register an Alexa device;Write;False
Alexa for Business;a4b;RejectSkill;a4b:RejectSkill;Grants permission to disassociate a skill from the organization under a user's AWS account;Write;False
Alexa for Business;a4b;ResolveRoom;a4b:ResolveRoom;Grants permission to resolve room information;Read;False
Alexa for Business;a4b;RevokeInvitation;a4b:RevokeInvitation;Grants permission to revoke an invitation;Write;True
Alexa for Business;a4b;SearchAddressBooks;a4b:SearchAddressBooks;Grants permission to search address books and list the ones that meet a set of filter and sort criteria;List;False
Alexa for Business;a4b;SearchContacts;a4b:SearchContacts;Grants permission to search contacts and list the ones that meet a set of filter and sort criteria;List;False
Alexa for Business;a4b;SearchDevices;a4b:SearchDevices;Grants permission to search for devices;List;False
Alexa for Business;a4b;SearchNetworkProfiles;a4b:SearchNetworkProfiles;Grants permission to search network profiles and list the ones that meet a set of filter and sort criteria;List;False
Alexa for Business;a4b;SearchProfiles;a4b:SearchProfiles;Grants permission to search for profiles;List;False
Alexa for Business;a4b;SearchRooms;a4b:SearchRooms;Grants permission to search for rooms;List;False
Alexa for Business;a4b;SearchSkillGroups;a4b:SearchSkillGroups;Grants permission to search for skill groups;List;False
Alexa for Business;a4b;SearchUsers;a4b:SearchUsers;Grants permission to search for users;List;False
Alexa for Business;a4b;SendAnnouncement;a4b:SendAnnouncement;Grants permission to trigger an asynchronous flow to send text, SSML, or audio announcements to rooms that are identified by a search or filter;Write;False
Alexa for Business;a4b;SendInvitation;a4b:SendInvitation;Grants permission to send an invitation to a user;Write;True
Alexa for Business;a4b;StartDeviceSync;a4b:StartDeviceSync;Grants permission to restore the device and its account to its known, default settings by clearing all information and settings set by its previous users;Write;False
Alexa for Business;a4b;StartSmartHomeApplianceDiscovery;a4b:StartSmartHomeApplianceDiscovery;Grants permission to initiate the discovery of any smart home appliances associated with the room;Read;True
Alexa for Business;a4b;TagResource;a4b:TagResource;Grants permission to add metadata tags to a resource;Tagging;True
Alexa for Business;a4b;UntagResource;a4b:UntagResource;Grants permission to remove metadata tags from a resource;Tagging;True
Alexa for Business;a4b;UpdateAddressBook;a4b:UpdateAddressBook;Grants permission to update address book details by the address book ARN;Write;True
Alexa for Business;a4b;UpdateBusinessReportSchedule;a4b:UpdateBusinessReportSchedule;Grants permission to update the configuration of the report delivery schedule with the specified schedule ARN;Write;True
Alexa for Business;a4b;UpdateConferenceProvider;a4b:UpdateConferenceProvider;Grants permission to update an existing conference provider's settings;Write;True
Alexa for Business;a4b;UpdateContact;a4b:UpdateContact;Grants permission to update the contact details by the contact ARN;Write;True
Alexa for Business;a4b;UpdateDevice;a4b:UpdateDevice;Grants permission to update device name;Write;True
Alexa for Business;a4b;UpdateGateway;a4b:UpdateGateway;Grants permission to update the details of a gateway;Write;True
Alexa for Business;a4b;UpdateGatewayGroup;a4b:UpdateGatewayGroup;Grants permission to update the details of a gateway group;Write;True
Alexa for Business;a4b;UpdateNetworkProfile;a4b:UpdateNetworkProfile;Grants permission to update a network profile by the network profile ARN;Write;True
Alexa for Business;a4b;UpdateProfile;a4b:UpdateProfile;Grants permission to update an existing profile;Write;True
Alexa for Business;a4b;UpdateRoom;a4b:UpdateRoom;Grants permission to update room details;Write;True
Alexa for Business;a4b;UpdateSkillGroup;a4b:UpdateSkillGroup;Grants permission to update skill group details with skill group ARN;Write;True
AmazonMediaImport;mediaimport;CreateDatabaseBinarySnapshot [permission only];mediaimport:CreateDatabaseBinarySnapshot [permission only];Grants permission to create a database binary snapshot on the customer's aws account;Write;False
AWS Amplify;amplify;CreateApp;amplify:CreateApp;Creates a new Amplify App;Write;True
AWS Amplify;amplify;CreateBackendEnvironment;amplify:CreateBackendEnvironment;Creates a new backend environment for an Amplify App;Write;True
AWS Amplify;amplify;CreateBranch;amplify:CreateBranch;Creates a new Branch for an Amplify App;Write;True
AWS Amplify;amplify;CreateDeployment;amplify:CreateDeployment;Create a deployment for manual deploy apps. (Apps are not connected to repository);Write;True
AWS Amplify;amplify;CreateDomainAssociation;amplify:CreateDomainAssociation;Create a new DomainAssociation on an App;Write;True
AWS Amplify;amplify;CreateWebHook;amplify:CreateWebHook;Create a new webhook on an App;Write;True
AWS Amplify;amplify;DeleteApp;amplify:DeleteApp;Delete an existing Amplify App by appId;Write;True
AWS Amplify;amplify;DeleteBackendEnvironment;amplify:DeleteBackendEnvironment;Deletes a branch for an Amplify App;Write;True
AWS Amplify;amplify;DeleteBranch;amplify:DeleteBranch;Deletes a branch for an Amplify App;Write;True
AWS Amplify;amplify;DeleteDomainAssociation;amplify:DeleteDomainAssociation;Deletes a DomainAssociation;Write;True
AWS Amplify;amplify;DeleteJob;amplify:DeleteJob;Delete a job, for an Amplify branch, part of Amplify App;Write;True
AWS Amplify;amplify;DeleteWebHook;amplify:DeleteWebHook;Delete a webhook by id;Write;True
AWS Amplify;amplify;GenerateAccessLogs;amplify:GenerateAccessLogs;Generate website access logs for a specific time range via a pre-signed URL;Write;True
AWS Amplify;amplify;GetApp;amplify:GetApp;Retrieves an existing Amplify App by appId;Read;True
AWS Amplify;amplify;GetArtifactUrl;amplify:GetArtifactUrl;Retrieves artifact info that corresponds to a artifactId;Read;True
AWS Amplify;amplify;GetBackendEnvironment;amplify:GetBackendEnvironment;Retrieves a backend environment for an Amplify App;Read;True
AWS Amplify;amplify;GetBranch;amplify:GetBranch;Retrieves a branch for an Amplify App;Read;True
AWS Amplify;amplify;GetDomainAssociation;amplify:GetDomainAssociation;Retrieves domain info that corresponds to an appId and domainName;Read;True
AWS Amplify;amplify;GetJob;amplify:GetJob;Get a job for a branch, part of an Amplify App;Read;True
AWS Amplify;amplify;GetWebHook;amplify:GetWebHook;Retrieves webhook info that corresponds to a webhookId;Read;True
AWS Amplify;amplify;ListApps;amplify:ListApps;Lists existing Amplify Apps;List;False
AWS Amplify;amplify;ListArtifacts;amplify:ListArtifacts;List artifacts with an app, a branch, a job and an artifact type;List;True
AWS Amplify;amplify;ListBackendEnvironments;amplify:ListBackendEnvironments;Lists backend environments for an Amplify App;List;True
AWS Amplify;amplify;ListBranches;amplify:ListBranches;Lists branches for an Amplify App;List;True
AWS Amplify;amplify;ListDomainAssociations;amplify:ListDomainAssociations;List domains with an app;List;True
AWS Amplify;amplify;ListJobs;amplify:ListJobs;List Jobs for a branch, part of an Amplify App;List;True
AWS Amplify;amplify;ListTagsForResource;amplify:ListTagsForResource;List tags for an AWS Amplify Console resource;Read;True
AWS Amplify;amplify;ListWebHooks;amplify:ListWebHooks;List webhooks on an App;List;True
AWS Amplify;amplify;StartDeployment;amplify:StartDeployment;Start a deployment for manual deploy apps. (Apps are not connected to repository);Write;True
AWS Amplify;amplify;StartJob;amplify:StartJob;Starts a new job for a branch, part of an Amplify App;Write;True
AWS Amplify;amplify;StopJob;amplify:StopJob;Stop a job that is in progress, for an Amplify branch, part of Amplify App;Write;True
AWS Amplify;amplify;TagResource;amplify:TagResource;This action tags an AWS Amplify Console resource;Tagging;True
AWS Amplify;amplify;UntagResource;amplify:UntagResource;This action removes a tag from an AWS Amplify Console resource;Tagging;True
AWS Amplify;amplify;UpdateApp;amplify:UpdateApp;Updates an existing Amplify App;Write;True
AWS Amplify;amplify;UpdateBranch;amplify:UpdateBranch;Updates a branch for an Amplify App;Write;True
AWS Amplify;amplify;UpdateDomainAssociation;amplify:UpdateDomainAssociation;Update a DomainAssociation on an App;Write;True
AWS Amplify;amplify;UpdateWebHook;amplify:UpdateWebHook;Update a webhook;Write;True
AWS Amplify Admin;amplifybackend;CloneBackend;amplifybackend:CloneBackend;Grants permission to clone an existing Amplify Admin backend environment into a new Amplify Admin backend enviroment;Write;True
AWS Amplify Admin;amplifybackend;CreateBackend;amplifybackend:CreateBackend;Grants permission to create a new Amplify Admin backend environment by Amplify appId;Write;True
AWS Amplify Admin;amplifybackend;CreateBackendAPI;amplifybackend:CreateBackendAPI;Grants permission to create an API for an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;CreateBackendAuth;amplifybackend:CreateBackendAuth;Grants permission to create an auth resource for an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;CreateBackendConfig;amplifybackend:CreateBackendConfig;Grants permission to create a new Amplify Admin backend config by Amplify appId;Write;True
AWS Amplify Admin;amplifybackend;CreateBackendStorage;amplifybackend:CreateBackendStorage;Grants permission to create a backend storage resource;Write;True
AWS Amplify Admin;amplifybackend;CreateToken;amplifybackend:CreateToken;Grants permission to create an Amplify Admin challenge token by appId;Write;True
AWS Amplify Admin;amplifybackend;DeleteBackend;amplifybackend:DeleteBackend;Grants permission to delete an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;DeleteBackendAPI;amplifybackend:DeleteBackendAPI;Grants permission to delete an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;DeleteBackendAuth;amplifybackend:DeleteBackendAuth;Grants permission to delete an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;DeleteBackendStorage;amplifybackend:DeleteBackendStorage;Grants permission to delete a backend storage resource;Write;True
AWS Amplify Admin;amplifybackend;DeleteToken;amplifybackend:DeleteToken;Grants permission to delete an Amplify Admin challenge token by appId;Write;True
AWS Amplify Admin;amplifybackend;GenerateBackendAPIModels;amplifybackend:GenerateBackendAPIModels;Grants permission to generate models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;GetBackend;amplifybackend:GetBackend;Grants permission to retrieve an existing Amplify Admin backend environment by appId and backendEnvironmentName;Read;True
AWS Amplify Admin;amplifybackend;GetBackendAPI;amplifybackend:GetBackendAPI;Grants permission to retrieve an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Read;True
AWS Amplify Admin;amplifybackend;GetBackendAPIModels;amplifybackend:GetBackendAPIModels;Grants permission to retrieve models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Read;True
AWS Amplify Admin;amplifybackend;GetBackendAuth;amplifybackend:GetBackendAuth;Grants permission to retrieve an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Read;True
AWS Amplify Admin;amplifybackend;GetBackendJob;amplifybackend:GetBackendJob;Grants permission to retrieve a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Read;True
AWS Amplify Admin;amplifybackend;GetBackendStorage;amplifybackend:GetBackendStorage;Grants permission to retrieve an existing backend storage resource;Read;True
AWS Amplify Admin;amplifybackend;GetToken;amplifybackend:GetToken;Grants permission to retrieve an Amplify Admin challenge token by appId;Read;True
AWS Amplify Admin;amplifybackend;ImportBackendAuth;amplifybackend:ImportBackendAuth;Grants permission to import an existing auth resource of an Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;ImportBackendStorage;amplifybackend:ImportBackendStorage;Grants permission to import an existing backend storage resource;Write;True
AWS Amplify Admin;amplifybackend;ListBackendJobs;amplifybackend:ListBackendJobs;Grants permission to retrieve the jobs of an existing Amplify Admin backend environment by appId and backendEnvironmentName;List;True
AWS Amplify Admin;amplifybackend;ListS3Buckets;amplifybackend:ListS3Buckets;Grants permission to retrieve s3 buckets;List;False
AWS Amplify Admin;amplifybackend;RemoveAllBackends;amplifybackend:RemoveAllBackends;Grants permission to delete all existing Amplify Admin backend environments by appId;Write;True
AWS Amplify Admin;amplifybackend;RemoveBackendConfig;amplifybackend:RemoveBackendConfig;Grants permission to delete an Amplify Admin backend config by Amplify appId;Write;True
AWS Amplify Admin;amplifybackend;UpdateBackendAPI;amplifybackend:UpdateBackendAPI;Grants permission to update an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;UpdateBackendAuth;amplifybackend:UpdateBackendAuth;Grants permission to update an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;UpdateBackendConfig;amplifybackend:UpdateBackendConfig;Grants permission to update an Amplify Admin backend config by Amplify appId;Write;True
AWS Amplify Admin;amplifybackend;UpdateBackendJob;amplifybackend:UpdateBackendJob;Grants permission to update a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName;Write;True
AWS Amplify Admin;amplifybackend;UpdateBackendStorage;amplifybackend:UpdateBackendStorage;Grants permission to update a backend storage resource;Write;True
AWS Amplify UI Builder;amplifyuibuilder;CreateComponent;amplifyuibuilder:CreateComponent;Grants permission to create a component;Write;False
AWS Amplify UI Builder;amplifyuibuilder;CreateTheme;amplifyuibuilder:CreateTheme;Grants permission to create a theme;Write;False
AWS Amplify UI Builder;amplifyuibuilder;DeleteComponent;amplifyuibuilder:DeleteComponent;Grants permission to delete a component;Write;True
AWS Amplify UI Builder;amplifyuibuilder;DeleteTheme;amplifyuibuilder:DeleteTheme;Grants permission to delete a theme;Write;True
AWS Amplify UI Builder;amplifyuibuilder;ExchangeCodeForToken;amplifyuibuilder:ExchangeCodeForToken;Grants permission to exchange a code for a token;Write;False
AWS Amplify UI Builder;amplifyuibuilder;ExportComponents;amplifyuibuilder:ExportComponents;Grants permission to export components;Read;False
AWS Amplify UI Builder;amplifyuibuilder;ExportThemes;amplifyuibuilder:ExportThemes;Grants permission to export themes;Read;False
AWS Amplify UI Builder;amplifyuibuilder;GetComponent;amplifyuibuilder:GetComponent;Grants permission to get an existing component;Read;True
AWS Amplify UI Builder;amplifyuibuilder;GetTheme;amplifyuibuilder:GetTheme;Grants permission to get an existing theme;Read;True
AWS Amplify UI Builder;amplifyuibuilder;ListComponents;amplifyuibuilder:ListComponents;Grants permission to list the components for an app;List;False
AWS Amplify UI Builder;amplifyuibuilder;ListTagsForResource;amplifyuibuilder:ListTagsForResource;Grants permission to list the tags for a resource;Read;True
AWS Amplify UI Builder;amplifyuibuilder;ListThemes;amplifyuibuilder:ListThemes;Grants permission to list the themes for an app;List;False
AWS Amplify UI Builder;amplifyuibuilder;RefreshToken;amplifyuibuilder:RefreshToken;Grants permission to refresh an access token;Write;False
AWS Amplify UI Builder;amplifyuibuilder;TagResource;amplifyuibuilder:TagResource;Grants permission to tag a resource;Tagging;True
AWS Amplify UI Builder;amplifyuibuilder;UntagResource;amplifyuibuilder:UntagResource;Grants permission to untag a resource;Tagging;True
AWS Amplify UI Builder;amplifyuibuilder;UpdateComponent;amplifyuibuilder:UpdateComponent;Grants permission to update a component;Write;True
AWS Amplify UI Builder;amplifyuibuilder;UpdateTheme;amplifyuibuilder:UpdateTheme;Grants permission to update a theme;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterCluster;kafka-cluster:AlterCluster;Grants permission to alter various aspects of the cluster, equivalent to Apache Kafka's ALTER CLUSTER ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterClusterDynamicConfiguration;kafka-cluster:AlterClusterDynamicConfiguration;Grants permission to alter the dynamic configuration of a cluster, equivalent to Apache Kafka's ALTER_CONFIGS CLUSTER ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterGroup;kafka-cluster:AlterGroup;Grants permission to join groups on a cluster, equivalent to Apache Kafka's READ GROUP ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterTopic;kafka-cluster:AlterTopic;Grants permission to alter topics on a cluster, equivalent to Apache Kafka's ALTER TOPIC ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterTopicDynamicConfiguration;kafka-cluster:AlterTopicDynamicConfiguration;Grants permission to alter the dynamic configuration of topics on a cluster, equivalent to Apache Kafka's ALTER_CONFIGS TOPIC ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;AlterTransactionalId;kafka-cluster:AlterTransactionalId;Grants permission to alter transactional IDs on a cluster, equivalent to Apache Kafka's WRITE TRANSACTIONAL_ID ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;Connect;kafka-cluster:Connect;Grants permission to connect and authenticate to the cluster;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;CreateTopic;kafka-cluster:CreateTopic;Grants permission to create topics on a cluster, equivalent to Apache Kafka's CREATE CLUSTER/TOPIC ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DeleteGroup;kafka-cluster:DeleteGroup;Grants permission to delete groups on a cluster, equivalent to Apache Kafka's DELETE GROUP ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DeleteTopic;kafka-cluster:DeleteTopic;Grants permission to delete topics on a cluster, equivalent to Apache Kafka's DELETE TOPIC ACL;Write;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DescribeCluster;kafka-cluster:DescribeCluster;Grants permission to describe various aspects of the cluster, equivalent to Apache Kafka's DESCRIBE CLUSTER ACL;List;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DescribeClusterDynamicConfiguration;kafka-cluster:DescribeClusterDynamicConfiguration;Grants permission to describe the dynamic configuration of a cluster, equivalent to Apache Kafka's DESCRIBE_CONFIGS CLUSTER ACL;List;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DescribeGroup;kafka-cluster:DescribeGroup;Grants permission to describe groups on a cluster, equivalent to Apache Kafka's DESCRIBE GROUP ACL;List;True
Apache Kafka APIs for Amazon MSK clusters;kafka-cluster;DescribeTopic;kafka-cluster:DescribeTopic;Grants permission to describe topics on a cluster, equivalent to Apache Kafka's DESCRIBE TOPIC ACL;List;True
