StatementNumber;Action;AccessLevel;Resource;Description;Documentation
1;s3:PutObjectVersionAcl;Permissions management;True;Grants permission to use the acl subresource to set the access control list (ACL) permissions for an object that already exists in a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:DeleteObjectVersion;Write;True;Grants permission to remove a specific version of an object;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:DeleteObject;Write;True;Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutBucketAcl;Permissions management;True;Grants permission to set the permissions on an existing bucket using access control lists (ACLs);https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutBucketPolicy;Permissions management;True;Grants permission to add or replace a bucket policy on a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:PutBucketPublicAccessBlock;Permissions management;True;Grants permission to create or modify the PublicAccessBlock configuration for a specific Amazon S3 bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;s3:DeleteBucketPolicy;Permissions management;True;Grants permission to delete the policy on a specified bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
1;kms:Decrypt;Write;True;Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;secretsmanager:GetSecretValue;Read;True;Grants permission to retrieve and decrypt the encrypted data;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awssecretsmanager.html
1;ssm:GetParameter;Read;True;Grants permission to view information about a specified parameter;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awssystemsmanager.html
1;ec2:AuthorizeSecurityGroupEgress;Write;True;Grants permission to add one or more outbound rules to a VPC security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:AuthorizeSecurityGroupIngress;Write;True;Grants permission to add one or more inbound rules to a security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:CreateSecurityGroup;Write;True;Grants permission to create a security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:RevokeSecurityGroupEgress;Write;True;Grants permission to remove one or more outbound rules from a VPC security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:DeleteSecurityGroup;Write;True;Grants permission to delete a security group;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:TerminateInstances;Write;True;Grants permission to shut down one or more instances;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;logs:GetQueryResults;Read;False;Grants permissions to return the results from the specified query;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncloudwatchlogs.html
1;ec2:DeleteSnapshot;Write;True;Grants permission to delete a snapshot of an EBS volume;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;ec2:TerminateInstances;Write;True;Grants permission to shut down one or more instances;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
1;kms:GenerateDataKeyWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:ReEncryptFrom;Write;True;Controls permission to decrypt data as part of the process that decrypts and reencrypts the data within AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:Encrypt;Write;True;Controls permission to use the specified AWS KMS key to encrypt data and data keys;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:ReEncryptTo;Write;True;Controls permission to encrypt data as part of the process that decrypts and reencrypts the data within AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;kms:CreateGrant;Permissions management;True;Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
1;ssm:GetParameters;Read;True;Grants permission to view information about multiple specified parameters;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awssystemsmanager.html
